date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:47	23693/23693	---MCZ	200	added ('OK')	text/html	etag:W/%2263d9ed73-5c8d%22	https://htmldemo.net/argima/index.html	D:/Hoc_Phan_MongoDB/DoAnMon/Source/Cua_Hang_My_Pham_Online/htmldemo.net/argima/index.html	(from )
15:31:48	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Jul%202024%2008:31:47%20GMT	https://htmldemo.net/robots.txt		(from )
15:31:48	34494/34494	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2263d9ef0b-86be%22	https://htmldemo.net/argima/p2/img/favicon.ico	D:/Hoc_Phan_MongoDB/DoAnMon/Source/Cua_Hang_My_Pham_Online/htmldemo.net/argima/p2/img/favicon.ico	(from https://htmldemo.net/argima/index.html)
15:31:48	160409/160409	---MCZ	200	added ('OK')	text/css	etag:W/%2263d9eef0-27299%22	https://htmldemo.net/argima/p2/css/bootstrap.min.css	D:/Hoc_Phan_MongoDB/DoAnMon/Source/Cua_Hang_My_Pham_Online/htmldemo.net/argima/p2/css/bootstrap.min.css	(from https://htmldemo.net/argima/index.html)
15:31:48	31002/31002	---MCZ	200	added ('OK')	text/css	etag:W/%2263d9eef2-791a%22	https://htmldemo.net/argima/p2/css/font.awesome.min.css	D:/Hoc_Phan_MongoDB/DoAnMon/Source/Cua_Hang_My_Pham_Online/htmldemo.net/argima/p2/css/font.awesome.min.css	(from https://htmldemo.net/argima/index.html)
15:31:49	7410/7410	---MCZ	200	added ('OK')	text/css	etag:W/%2263d9eeef-1cf2%22	https://htmldemo.net/argima/p2/css/et-line.css	D:/Hoc_Phan_MongoDB/DoAnMon/Source/Cua_Hang_My_Pham_Online/htmldemo.net/argima/p2/css/et-line.css	(from https://htmldemo.net/argima/index.html)
15:31:49	25396/25396	---MCZ	200	added ('OK')	text/css	etag:W/%2263d9eef4-6334%22	https://htmldemo.net/argima/p2/css/plugins.css	D:/Hoc_Phan_MongoDB/DoAnMon/Source/Cua_Hang_My_Pham_Online/htmldemo.net/argima/p2/css/plugins.css	(from https://htmldemo.net/argima/index.html)
15:31:49	21626/21626	---MCZ	200	added ('OK')	text/css	etag:W/%2263d9eeec-547a%22	https://htmldemo.net/argima/p2/style.css	D:/Hoc_Phan_MongoDB/DoAnMon/Source/Cua_Hang_My_Pham_Online/htmldemo.net/argima/p2/style.css	(from https://htmldemo.net/argima/index.html)
15:31:49	1814/1814	---MCZ	200	added ('OK')	text/css	etag:W/%2263d9eef5-716%22	https://htmldemo.net/argima/p2/css/responsive.css	D:/Hoc_Phan_MongoDB/DoAnMon/Source/Cua_Hang_My_Pham_Online/htmldemo.net/argima/p2/css/responsive.css	(from https://htmldemo.net/argima/index.html)
15:31:50	15518/15518	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263d9ef3b-3c9e%22	https://htmldemo.net/argima/p2/js/vendor/modernizr-2.8.3.min.js	D:/Hoc_Phan_MongoDB/DoAnMon/Source/Cua_Hang_My_Pham_Online/htmldemo.net/argima/p2/js/vendor/modernizr-2.8.3.min.js	(from https://htmldemo.net/argima/index.html)
15:31:50	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2019%20Jul%202024%2008:31:50%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Hoc_Phan_MongoDB/DoAnMon/Source/Cua_Hang_My_Pham_Online/www.googletagmanager.com/gtm.95445.delayed	(from https://htmldemo.net/argima/index.html)
15:31:51	3191/3191	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Jul%202024%2008:31:50%20GMT	https://htmldemo.net/argima/p2/img/logo.png	D:/Hoc_Phan_MongoDB/DoAnMon/Source/Cua_Hang_My_Pham_Online/htmldemo.net/argima/p2/img/logo.png	(from https://htmldemo.net/argima/index.html)
